HourUTC;HourDK;ConnectedArea;SharePPM;ShareMWh
2024-12-31 06:00:00;2024-12-31 07:00:00;DK2;504828;1704,304812
2024-12-31 06:00:00;2024-12-31 07:00:00;NL;0;0,000000
2024-12-31 06:00:00;2024-12-31 07:00:00;DK1;495171;1671,703220
2024-12-31 06:00:00;2024-12-31 07:00:00;GE;0;0,000000
2024-12-31 06:00:00;2024-12-31 07:00:00;SE;0;0,000000
2024-12-31 06:00:00;2024-12-31 07:00:00;NO2;0;0,000000
2024-12-31 05:00:00;2024-12-31 06:00:00;DK1;418427;1275,240521
2024-12-31 05:00:00;2024-12-31 06:00:00;NO2;3745;11,415639
2024-12-31 05:00:00;2024-12-31 06:00:00;SE;17717;53,998176
2024-12-31 05:00:00;2024-12-31 06:00:00;GE;0;0,000000
2024-12-31 05:00:00;2024-12-31 06:00:00;NL;0;0,000000
2024-12-31 05:00:00;2024-12-31 06:00:00;DK2;560109;1707,046106
2024-12-31 04:00:00;2024-12-31 05:00:00;NL;0;0,000000
2024-12-31 04:00:00;2024-12-31 05:00:00;GE;0;0,000000
2024-12-31 04:00:00;2024-12-31 05:00:00;SE;158527;462,451557
2024-12-31 04:00:00;2024-12-31 05:00:00;DK1;254600;742,710887
2024-12-31 04:00:00;2024-12-31 05:00:00;NO2;0;0,000000
2024-12-31 04:00:00;2024-12-31 05:00:00;DK2;586871;1711,998347
2024-12-31 03:00:00;2024-12-31 04:00:00;DK1;241182;689,289564
2024-12-31 03:00:00;2024-12-31 04:00:00;DK2;589060;1683,510954
2024-12-31 03:00:00;2024-12-31 04:00:00;NO2;0;0,000000
2024-12-31 03:00:00;2024-12-31 04:00:00;NL;0;0,000000
2024-12-31 03:00:00;2024-12-31 04:00:00;GE;0;0,000000
2024-12-31 03:00:00;2024-12-31 04:00:00;SE;169757;485,158857
2024-12-31 02:00:00;2024-12-31 03:00:00;DK2;531218;1692,214994
2024-12-31 02:00:00;2024-12-31 03:00:00;DK1;236877;754,580400
2024-12-31 02:00:00;2024-12-31 03:00:00;NO2;16977;54,083435
2024-12-31 02:00:00;2024-12-31 03:00:00;SE;214925;684,653364
2024-12-31 02:00:00;2024-12-31 03:00:00;GE;0;0,000000
2024-12-31 02:00:00;2024-12-31 03:00:00;NL;0;0,000000
2024-12-31 01:00:00;2024-12-31 02:00:00;NL;0;0,000000
2024-12-31 01:00:00;2024-12-31 02:00:00;DK2;422776;1660,127162
2024-12-31 01:00:00;2024-12-31 02:00:00;GE;0;0,000000
2024-12-31 01:00:00;2024-12-31 02:00:00;SE;224657;882,167225
2024-12-31 01:00:00;2024-12-31 02:00:00;NO2;80345;315,494474
2024-12-31 01:00:00;2024-12-31 02:00:00;DK1;272220;1068,934436
