latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
56.133568,10.1851845,27.0,3600,Europe/Berlin,CET

time,temperature_2m (°C),rain (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_speed_100m (km/h),sunshine_duration (s),albedo (undefined)
2024-01-01T00:00,5.8,0.30,100,3,100,100,13.0,23.2,0.00,NaN
2024-01-01T01:00,5.5,0.10,100,37,93,99,15.1,26.8,0.00,NaN
2024-01-01T02:00,5.4,0.10,100,48,100,90,13.7,25.3,0.00,NaN
2024-01-01T03:00,5.2,0.10,100,31,84,100,16.4,28.2,0.00,NaN
2024-01-01T04:00,5.0,0.00,40,37,5,2,17.6,30.1,0.00,NaN
2024-01-01T05:00,4.6,0.00,100,72,81,98,16.6,28.9,0.00,NaN
2024-01-01T06:00,4.7,0.10,100,100,89,96,18.1,30.3,0.00,NaN
2024-01-01T07:00,4.8,0.10,85,76,11,35,19.0,31.1,0.00,NaN
2024-01-01T08:00,4.9,0.00,100,100,86,41,20.2,33.2,0.00,NaN
2024-01-01T09:00,4.9,0.10,100,99,91,91,20.3,32.0,0.00,NaN
2024-01-01T10:00,4.8,0.60,100,100,100,54,14.5,23.9,0.00,NaN
2024-01-01T11:00,5.2,0.90,100,100,68,56,18.1,28.6,0.00,NaN
2024-01-01T12:00,5.4,0.20,98,89,90,71,19.1,29.9,0.00,NaN
2024-01-01T13:00,5.5,0.20,82,48,30,55,17.6,27.3,0.00,NaN
2024-01-01T14:00,5.4,0.20,98,84,22,88,17.7,27.5,3600.00,NaN
2024-01-01T15:00,5.0,0.00,100,99,32,100,19.0,30.8,2811.16,NaN
2024-01-01T16:00,5.0,0.00,100,100,34,100,19.1,30.9,0.00,NaN
2024-01-01T17:00,5.1,0.20,100,100,79,99,18.4,29.1,0.00,NaN
2024-01-01T18:00,5.0,0.20,100,100,72,97,17.5,27.4,0.00,NaN
2024-01-01T19:00,4.8,0.20,100,100,88,10,18.6,28.8,0.00,NaN
2024-01-01T20:00,4.6,0.00,100,100,91,50,18.8,29.3,0.00,NaN
2024-01-01T21:00,4.5,0.10,100,100,65,15,20.6,32.2,0.00,NaN
2024-01-01T22:00,4.5,0.10,100,100,50,30,21.3,33.5,0.00,NaN
2024-01-01T23:00,4.5,0.40,100,100,71,26,19.5,31.2,0.00,NaN
2024-01-02T00:00,4.5,0.40,100,100,63,23,18.1,28.8,0.00,NaN
2024-01-02T01:00,4.5,0.20,100,100,15,1,18.3,29.5,0.00,NaN
2024-01-02T02:00,4.6,0.00,96,95,17,0,10.5,18.2,0.00,NaN
2024-01-02T03:00,4.6,0.00,99,98,37,0,8.9,15.2,0.00,NaN
2024-01-02T04:00,4.4,0.00,100,99,45,100,10.0,16.9,0.00,NaN
2024-01-02T05:00,4.4,0.00,100,100,41,100,15.8,24.8,0.00,NaN
2024-01-02T06:00,4.3,0.00,100,100,1,100,21.6,34.2,0.00,NaN
2024-01-02T07:00,4.4,0.00,100,100,6,100,27.0,41.6,0.00,NaN
2024-01-02T08:00,4.2,0.00,100,100,15,100,30.4,46.1,0.00,NaN
2024-01-02T09:00,4.1,0.20,100,100,98,100,33.4,50.3,0.00,NaN
2024-01-02T10:00,3.7,0.30,100,100,100,100,35.5,53.5,0.00,NaN
2024-01-02T11:00,3.6,0.10,100,100,100,100,36.0,54.7,0.00,NaN
2024-01-02T12:00,3.5,0.10,100,100,100,100,36.4,55.5,0.00,NaN
2024-01-02T13:00,3.2,0.20,100,100,100,100,36.8,55.6,0.00,NaN
2024-01-02T14:00,2.6,0.00,100,100,100,98,37.8,55.9,0.00,NaN
2024-01-02T15:00,2.4,0.00,100,100,100,100,39.8,58.0,0.00,NaN
2024-01-02T16:00,2.0,0.00,100,100,100,100,40.1,60.4,0.00,NaN
2024-01-02T17:00,1.7,0.10,100,100,100,100,42.9,63.8,0.00,NaN
2024-01-02T18:00,1.5,0.10,100,100,100,100,44.4,66.5,0.00,NaN
2024-01-02T19:00,1.5,0.10,100,100,100,100,46.1,68.9,0.00,NaN
2024-01-02T20:00,1.4,0.10,100,100,100,100,44.7,67.3,0.00,NaN
2024-01-02T21:00,1.3,0.10,100,100,100,100,48.3,72.4,0.00,NaN
2024-01-02T22:00,1.3,0.00,100,100,100,100,46.9,70.3,0.00,NaN
2024-01-02T23:00,1.2,0.10,100,100,100,100,49.0,73.4,0.00,NaN
2024-01-03T00:00,1.2,0.00,100,100,100,100,51.2,76.4,0.00,NaN
2024-01-03T01:00,1.1,0.00,100,100,100,100,52.0,77.2,0.00,NaN
2024-01-03T02:00,-0.2,0.00,100,100,100,100,43.7,63.6,0.00,NaN
2024-01-03T03:00,-0.6,0.00,100,100,100,100,45.5,65.8,0.00,NaN
2024-01-03T04:00,-0.7,0.00,100,100,100,100,53.7,77.9,0.00,NaN
2024-01-03T05:00,-0.4,0.00,100,100,100,100,52.3,77.5,0.00,NaN
2024-01-03T06:00,-0.1,0.00,100,100,100,0,52.4,78.4,0.00,NaN
2024-01-03T07:00,0.1,0.00,100,100,100,0,50.9,75.8,0.00,NaN
2024-01-03T08:00,0.4,0.00,100,100,100,0,49.5,75.3,0.00,NaN
2024-01-03T09:00,0.4,0.10,100,100,100,0,49.8,74.9,0.00,NaN
2024-01-03T10:00,0.2,0.00,100,100,100,0,49.3,73.9,0.00,NaN
2024-01-03T11:00,0.1,0.00,100,100,100,0,49.4,74.5,0.00,NaN
2024-01-03T12:00,0.2,0.00,100,100,100,27,48.2,72.1,0.00,NaN
2024-01-03T13:00,0.2,0.00,100,100,100,97,48.4,72.8,0.00,NaN
2024-01-03T14:00,-0.1,0.00,100,100,100,0,50.0,72.7,0.00,NaN
2024-01-03T15:00,0.0,0.00,100,100,100,0,43.9,65.7,0.00,NaN
2024-01-03T16:00,-0.2,0.00,100,100,100,0,45.7,67.8,0.00,NaN
2024-01-03T17:00,-0.5,0.00,100,100,100,2,45.7,67.9,0.00,NaN
2024-01-03T18:00,-0.5,0.00,100,100,100,5,43.7,65.2,0.00,NaN
2024-01-03T19:00,-0.7,0.00,100,100,100,28,42.8,63.8,0.00,NaN
2024-01-03T20:00,-1.1,0.00,100,100,100,2,42.4,63.0,0.00,NaN
2024-01-03T21:00,-1.2,0.00,100,100,100,0,43.2,64.6,0.00,NaN
2024-01-03T22:00,-1.3,0.00,100,100,100,9,43.4,64.1,0.00,NaN
2024-01-03T23:00,-1.5,0.00,100,100,100,34,41.0,61.3,0.00,NaN
2024-01-04T00:00,-1.6,0.00,100,100,100,18,40.1,60.1,0.00,NaN
2024-01-04T01:00,-1.6,0.00,100,100,100,0,39.0,58.3,0.00,NaN
